Dies ist synthetischer Datensatz für Unterrichtszwecke. Er ist Teil einer Open Educational Resource (OER) und enthält aus rechtlichen Gründen keine personenbezogenen Daten. Weitere Informationen und den Zugang zur OER finden sie auf folgender Website: https://quadriga-dk.github.io/Bewegtes-Bild-Fallstudie-2/
Titel	verantw._Pers.	verantw._Gewerk	Projektart	Ort	Column_8	Verlag	Jahr	Originalmedium	Länge	Schlagwort	Stichwort	Bib._Nummer
Ich trank den Tee, obwohl er kalt war	Zoe Benthin	Regie	F2	Potsdam		Produktionskollektiv Brandenburg/Havel ; Kollektiv Bild &Ton "Potsdam"	1997	16mm	97m			DE-Po75
Luftfeuchtigkeit unauffällig erhöht	Friederike Gohlke	Idee		Potsdam			1995	Betacam		Dokumentarfilm		DE-Po75
Erinnerungen in Grau – Halle	Lars Nürnberg	Kamera	F3	Potsdam		Lichtbild-Arbeitsgemeinschaft griebnitzsee	1995	35mm	344m	Film- und Fernsehregie ; Soziale Probleme		DE-Po75
So weit war's nie gedacht		Regie		Potsdam		Kollektiv Bild und Ton Potsdam ; Kollektiv Bild &Ton "Potsdam"	1990	16mm	65m			DE-Po75
Die Geometrie der verlassenen Spielplätze	Marlies Nitzsche	Regie	Lichtübung	Potsdam			1992	35mm	85m			DE-Po75
Geräusch	Götz Jürgens	Regie		Potsdam		Kollektiv Bild und Ton Potsdam ; "AudioVisuelle Werkstatt" Frankfurt/Oder	1992			Dokumentation	Studioinszenierung . Musikfilm . nonverbal	DE-Po75
<<Das>> Lied der Vergessenheit	Wiltrud Fuhrmanns	Kameraübung				Lichtbild-Arbeitsgemeinschaft griebnitzsee	1988	16mm	130m	Spielfilm		DE-Po75
Montag, keine Meldung	Erhard Moser	Regie		Potsdam			1998/1999	35mm	73m		Bosnien	DE-Po75
Schnee in Kairo	Pham Duc Thanh	Regie		Potsdam		Film gruppe Berlin-Mitte ; lichtbild Arbeits gemeinschaft Griebnitzsee	1991	U-matic				DE-Po75
<<Das>> Auge der Ewigkeit	Yusef Khalid		F1	Potsdam		Atelier für Dokumentar-Film Babelsberg	1999	16mm	22m			DE-Po75
Niemand achtete auf den Vorhang	Tran Van Hoai	Regie	Diplomfilm	Potsdam			1996	16mm				DE-Po75
Ein Schatten aus Licht	Ida Wagner	Regie		Potsdam		Atelier für Dokumentarfilm Babelsberg	1992	S-VHS		Animationsfilm	Dresden	DE-Po75
Ich hörte ein Räuspern aus dem Radio	Detlef Donath	Regie		Potsdam		Film gruppe Berlin-Mitte ; Lichtbild-Arbeitsgemeinschaft griebnitzsee	1992			Film- und Fernsehregie		DE-Po75
<<Die>> Farbe an der Wand blätterte	Fritz Gärtner	Regie	Montageübung	Potsdam		Kollektiv Bild und Ton Potsdam ; Audiovisuelle Werkstatt Frankfurt Oder	1998	35mm	548m			DE-Po75
<<Das>> Rätsel der schwarzen Rose	Marta Novak	Regie		Potsdam		"AudioVisuelle Werkstatt" Frankfurt/Oder ; Atelier für Dokumentarfilm Babelsberg	1996	VHS		Werbefilm ; Werbefilm		DE-Po75
<<Der>> Pfad der Erinnerung	Oskar Rothe						1989	35mm		Dokumentarfilm		DE-Po75
Wo der Wind die Schatten küsst	Ella Hoffmann	Regie		Potsdam			1993	35mm	70m			DE-Po75
Ufer	Verena Wenzel	Regie		Potsdam			1987	16mm	458m		Regionales . Zypern . Brotherstellung	DE-Po75
Ausdruck	Le Thi Ngoc Anh	Kameraübung		Potsdam			[1988]	16mm	30m		NVA ; Nationale Volksarmee	DE-Po75
Der Luftzug kam aus der Richtung der Idee			Kameraübung	Potsdam			1990	16mm				DE-Po75
Tür auf, niemand drin		Regie		Potsdam		Filmstudio Babelsberg Ost	1997	35mm	123m	Animationsfilm		DE-Po75
Poesiealbum, Seite 23	Yvonne-Zoe Weitz	Regie		Potsdam			1994	Video				DE-Po75
Umlaufdokument fehlt	Denise-Regina Steffen			Potsdam		Lichtbild-Arbeitsgemeinschaft griebnitzsee ; Lichtbild Arbeitsgemeinschaft Griebnitzsee	1986	35mm	160m	Dokumentarfilm		DE-Po75
Beteiligung unter 30%	Chen Wei	Kamera		Potsdam			1988	16mm			Gesangsausbildung	DE-Po75
<<Ein>> Versprechen	Tariq Rashid	Regie		Potsdam			1995/96	35mm	79m	Liebe		DE-Po75
Telefon nicht verbinden	Marlies Dittberner	Regie	F1	Potsdam			1991	Video		Werbung		DE-Po75
Abendstille in Suhl	Cornelia Dittberner			Berlin		Atelier für Dokumentarfilm Babelsberg ; lichtbild Arbeits gemeinschaft Griebnitzsee	1991	VHS		Dokumentarfilm		DE-Po75
Ich fand einen Stift in der Tasche	Quentin Rabe			Potsdam			1990	16mm	838m	Dokumentarfilm ; Wende		DE-Po75
Unter dem Himmel von Jena	Karl-Heinz Möbus	Regie	Kameraübung	Potsdam			1987			Spielfilm ; Ehe ; Porträtfilm		DE-Po75
<<Ein>> Schritt ins Leere	Wilfried Grabow	Regie		Potsdam			1990			"Hochschule für Film und Fernsehen der DDR ""Konrad Wolf""" ; Wende		DE-Po75
Bedingung nicht erfüllt				Potsdam			[1988]	16mm	48m			DE-Po75
Mein Ort in der Geschichte	Nadja Ortmann	Regie		Potsdam			1999	Betacam SP		Dokumentarfilm		DE-Po75
Funke	Friederike Gohlke	Regie		Potsdam		Lichtbild-Arbeitsgemeinschaft griebnitzsee	[1995]	Betacam SP				DE-Po75
Die Abfahrt ohne Rückkehr – Magdeburg	Tran Thi Bich	Regie		Potsdam		Kollektiv Bild und Ton Potsdam	1992/93	16mm	167m	Werbung		DE-Po75
Rostock in Trümmern und Träumen	Amir Karim	Regie					1991/92	VHS				DE-Po75
Schwung	Noura Ibrahim	Kameraübung		Potsdam			1988	35mm		Dokumentarfilm		DE-Po75
Wäscheleine voller Zweifel	Stefan Popov		Diplomfilm	Potsdam			1995	U-matic		Spielfilm		DE-Po75
Tafelbild unvollständig	Luise Kühne	Regie					1989	VHS		Spielfilm		DE-Po75
Planung unter Vorbehalt	Kirsten Hüfner	Regie		Potsdam			1990	16mm	1222m	Dokumentarfilm		DE-Po75
Als alles uns gehörte	Ludwig-Martin Lübke	Regie		Potsdam			1999	S-VHS		Animationsfilm		DE-Po75
Niemand erinnerte sich an den Klang	Edeltraud Bieber	Regie					1999	16mm	59m	Spielfilm		DE-Po75
Ermahnung ausgesetzt	Rita Vollrath	Regie	Kameraübung	Potsdam			1994	Betacam SP		Spielfilm		DE-Po75
Takt	Ewa Kowalska	Regie		Potsdam		Filmgruppe Berlin-Mitte	1989/90	VHS				DE-Po75
Im Nebel verloren	Ella Hoffmann			Potsdam		Kollektiv Bild & Ton Potsdam	1992			Spielfilm ; Spielfilm ; Frauen		DE-Po75
Funkstille im Äther	Margot Händel	Regie		Potsdam		Lichtbild-Arbeitsgemeinschaft griebnitzsee ; Atelier für Dokumentarfilm Babelsberg	1990	16mm		Spielfilm ; Wende		DE-Po75
<<Die>> Träne des Feuers	Ida Wagner			Potsdam		Filmgruppe Berlin-Mitte	1998	35mm	19m	Dokumentarfilm ; Frauen		DE-Po75
Der Blick durch dich hindurch	Le Van Khoa	Kameraübung	Diplomfilm	Potsdam			1995	Betacam		Dokumentarfilm ; Spielfilm		DE-Po75
Die Farbe deiner Gedanken	Gisela Bauer	Kameraübung		Potsdam			1988	35mm	593m			DE-Po75
Die Glastür war matt	Jana Kühne	Kamera	Lichtübung	Potsdam			1997	35mm	505m	Trailer		DE-Po75
Wo sich Hoffnung im Regen spiegelt	Wolfgang Rautenberg	Regie	Lichtübung	Potsdam		Atelier fuer Dokumentarfilm BABELSBERG	1993	16mm	164m			DE-Po75
Neue Regelung, gültig ab sofort	Zdenek Falkenberg	Kamera	F1	Potsdam			1992	16mm	184m	Spielfilm		DE-Po75
Ich verwechselte den Gang	Gisela Ihlenfeld	Regie		Potsdam		Atelier für Dokumentar-Film Babelsberg ; Kollektiv Bild & Ton Potsdam	1996	Betacam SP				DE-Po75
Kontrast	Katarzyna Nowicka	Regie		Potsdam		Kollektiv Bild &Ton "Potsdam"	1991	35mm	80m			DE-Po75
Zwischenruf am Feldrand	Oskar Rothe	Kamera		Potsdam			1989	16mm	220m	Spielfilm ; Wende		DE-Po75
Akten wurden sortiert, vermutlich	Rosemarie Rabe	Regie		Potsdam			1996/97	35mm				DE-Po75
Traumflug		Regie	Kameraübung	Potsdam		Atelier für Dokumentarfilm Babelsberg ; lichtbild Arbeits gemeinschaft Griebnitzsee	1986	16mm	158m	Dokumentarfilm		DE-Po75
Im Zirkel	Bao Nguyen			Potsdam		Audiovisuelle Werkstatt Frankfurt/Oder	1990	U-matic				DE-Po75
Stadt der flüsternden Schornsteine	Reiner Schultze	Regie	Diplomfilm	Potsdam		lichtbild Arbeits gemeinschaft Griebnitzsee	1987	16mm	45m	Spielfilm ; Arbeit		DE-Po75
Wenn Nähe sich entfernt	Oksana Melnyk	Regie	Diplomfilm	Potsdam			1994	Video		Dokumentarfilm		DE-Po75
Als das Glück verschwand	Ludwig-Martin Lübke	Regie		Potsdam			1998/99	16mm	76m			DE-Po75
Nächte in Dresden	Katrin Karge	Regie		Potsdam			1987	16mm	81m		Arbeiter	DE-Po75
Randstrich in Rot	Alexei Kuznetsov	Regie		Potsdam			1993	Betacam		Adaption	making of ; Kindesmord	DE-Po75
Der Blick war nicht erlaubt	Stefan Tietjen			Potsdam			1998	35mm				DE-Po75
Wo Fahnen verblassten	Inge Jäkel	Regie	Lichtübung	Potsdam			1991	VHS			Bühnenstück ; Behinderte	DE-Po75
...im Herzen des Vulkan	Christfried Neuhaus		Diplomfilm	Potsdam		Kollektiv Bild & Ton Potsdam	1998	16mm	764m			DE-Po75
Ich trat zurück ohne es zu merken	Jochen Schade	Regie		Potsdam		Produktionskollektiv Brandenburg/Havel	1995	16mm	151m	Kamera		DE-Po75
Kreuzung der Träume	Wilfried Illner	Regie	Lichtübung	Potsdam			1994			Dokumentarfilm		DE-Po75
Die Algebra der verlorenen Schlüssel	Kai Oehme	Regie		Potsdam			1997	16mm	25m	Dokumentarfilm		DE-Po75
Kaffeeflecken auf dem Atlas	Heidemarie Karge	Regie	Kameraübung	Potsdam			1988	U-matic		Dokumentarfilm ; Nationalsozialismus		DE-Po75
Vielleicht ein Anfang				Potsdam		"AudioVisuelle Werkstatt" Frankfurt/Oder ; Audiovisuelle Werkstatt Frankfurt Oder	1990	16mm	850m	Spielfilm ; Ehe		DE-Po75
Das Leben dazwischen	Uta Vollrath	Regie		Potsdam			1994	16mm	322m	Spielfilm		DE-Po75
Kante	Gerhild Junker	Regie	F2	Potsdam			1995 (1996)	35mm	560m			DE-Po75
<<Der>> Rauch über der Spree	Uta Vollrath			Potsdam		Filmgruppe Berlin-Mitte ; Kollektiv Bild & Ton Potsdam	1994	35mm	1109m	Spielfilm		DE-Po75
Es war nicht mein Mantel	Lars Nürnberg	Regie		Potsdam			1996	35mm	292m	Dokumentarfilm		DE-Po75
<<Der>> letzte Flug	Friedegard Nussbaum	Regie		Potsdam			1996	Betacam SP				DE-Po75
Mein Zeugnis kam per Hand	Karin-Sabine Opitz	Regie		Potsdam			1998	Betacam SP				DE-Po75
<<Das>> Wappen fiel von der Wand	Ulrike Döhler	Regie		Potsdam		Audiovisuelle Werkstatt Frankfurt/Oder ; Atelier fuer Dokumentarfilm BABELSBERG	1985	16mm	36m	Spielfilm ; Porträtfilm	Schulalltag in der DDR ; Arbeit ; Förderband ; Förderbrücke	DE-Po75
Niemand wusste die Uhrzeit	Uta Vollrath			Potsdam		Lichtbild Arbeitsgemeinschaft Griebnitzsee	1994	16mm	73m	Dokumentarfilm ; Zeichentrickfilm		DE-Po75
Linie 5 fährt nicht mehr		Regie		Potsdam			[1988]	16mm	50m	Spielfilm		DE-Po75
<<Das>> Geheimnis der neun Ringe	Cornelius Zink	Kamera		Potsdam			1986	35mm			Kinderheim DDR	DE-Po75
Als wir nichts mehr spürten		Regie					1990	U-matic				DE-Po75
Wenn der Chor verstummt	Matthias Diederich	Regie	Diplomfilm	Potsdam		Audiovisuelle Werkstatt Frankfurt Oder	1989	16mm	60m	Dokumentarfilm		DE-Po75
<<Die>> Insel der vergessenen Melodien	Sven Nolting			Potsdam		Lichtbild Arbeitsgemeinschaft Griebnitzsee	1989	35mm	275m			DE-Po75
Unter blauem Himmel in Leipzig				Potsdam		Atelier für Dokumentarfilm Babelsberg ; lichtbild Arbeits gemeinschaft Griebnitzsee	1989	35mm	50m		Studenten-Oscar 1989	DE-Po75
Ein Schritt im Leeren	Martin Herrmann	Kameraübung		Potsdam			1987	35mm		Spielfilm		DE-Po75
Fahrraddiebe in der Dämmerung	Bernd Yilmaz	Regie	Kameraübung	Potsdam			1989	16mm	372m	Spielfilm ; Arbeit	Travestie . Theater . Regionales	DE-Po75
Zwischen Gulaschkanone und Gerücht	Manfred Nolte	Regie		Potsdam		Lichtbild Arbeitsgemeinschaft Griebnitzsee	1997	35mm	352m			DE-Po75
Verletzung	Hildegard Weber		Filmübung	Potsdam			1999	16mm	230m	Animationsfilm		DE-Po75
Mein letzter Tag mit der Uniform	York Teichert	Regie		Potsdam		Filmgruppe Berlin-Mitte ; Atelier fuer Dokumentarfilm BABELSBERG	1995	35mm	15m	Porträtfilm		DE-Po75
Die Erinnerung fließt wie sanfter Regen	Inge Hoffmann	Buch		Potsdam			1994	35mm		Trailer ; Experimentalfilm ; Liebe ; Gewalt		DE-Po75
Die Tragödie der leeren Kinosessel		Regie		Potsdam			1999	35mm	116m	Animationsfilm ; Animationsfilm		DE-Po75
Mein letzter Satz	Jürgen Uhlig	Regie		Potsdam			1987	16mm	79m			DE-Po75
Warten auf den Regen	Olga-Brigitte Kühnel	Regie	TV-Übung	Potsdam			1988	16mm	35m		nonverbal . Wahl DDR	DE-Po75
Ich schrieb nichts ins Schichtbuch	Tina Bongartz	Regie				Atelier für Dokumentarfilm Babelsberg ; Filmstudio Babelsberg Ost	1991/92	VHS		Dokumentarfilm ; Tanz		DE-Po75
