Titel	verantw._Pers.	verantw._Gewerk	Projektart	Ort	Verlag_1	Verlag_2	Jahr_1	Jahr_2	Jahr_Schätzung	Originalmedium	Länge	Schlagwort_1	Schlagwort_2	Schlagwort_3	Schlagwort_4	Schlagwort_5	Schlagwort_6	Stichwort_1	Stichwort_2	Stichwort_3	Stichwort_4	Stichwort_5	Stichwort_6	Stichwort_7	Stichwort_8	Stichwort_9	Stichwort_10	Stichwort_11
Niemand wusste die Uhrzeit	Uta Vollrath			Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee		1994		false	16mm	73m	Dokumentarfilm	Zeichentrickfilm															
Linie 5 fährt nicht mehr		Regie		Potsdam			1988		false	16mm	50m	Spielfilm																
Geheimnis der neun Ringe, Das	Cornelius Zink	Kamera		Potsdam			1986		false	35mm								Kinderheim DDR										
Als wir nichts mehr spürten		Regie					1990		false	U-matic																		
Wenn der Chor verstummt	Matthias Diederich	Regie	Diplomfilm	Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder		1989		false	16mm	60m	Dokumentarfilm																
Insel der vergessenen Melodien, Die	Sven Nolting			Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee		1989		false	35mm	275m																	
Unter blauem Himmel in Leipzig				Potsdam	Atelier für Dokumentarfilm Babelsberg	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	1989		false	35mm	50m							Studenten-Oscar 1989										
Schritt im Leeren, Ein	Martin Herrmann	Kameraübung		Potsdam			1987		false	35mm		Spielfilm																
Fahrraddiebe in der Dämmerung	Bernd Yilmaz	Regie	Kameraübung	Potsdam			1989		false	16mm	372m	Spielfilm	Arbeit					Travestie	Theater	Regionales								
Zwischen Gulaschkanone und Gerücht	Manfred Nolte	Regie		Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee		1997		false	35mm	352m																	
Verletzung	Hildegard Weber		Filmübung	Potsdam			1999		false	16mm	230m	Animationsfilm																
Mein letzter Tag mit der Uniform	York Teichert	Regie		Potsdam	Filmgruppe Berlin-Mitte	Atelier für Dokumentarfilm Babelsberg	1995		false	35mm	15m	Porträtfilm																
Erinnerung fließt wie sanfter Regen, Die	Inge Hoffmann	Buch		Potsdam			1994		false	35mm		Trailer	Experimentalfilm	Liebe	Gewalt													
Tragödie der leeren Kinosessel, Die		Regie		Potsdam			1999		false	35mm	116m	Animationsfilm	Animationsfilm															
Mein letzter Satz	Jürgen Uhlig	Regie		Potsdam			1987		false	16mm	79m																	
Warten auf den Regen	Olga-Brigitte Kühnel	Regie	TV-Übung	Potsdam			1988		false	16mm	35m							nonverbal	Wahl DDR									
Ich schrieb nichts ins Schichtbuch	Tina Bongartz	Regie			Atelier für Dokumentarfilm Babelsberg	Filmstudio Babelsberg Ost	1991	1992	false	VHS		Dokumentarfilm	Tanz															
